# Data release schedule for one instrument,
# DO NOT CHANGE THE FORMAT OF THIS FILE,
# ALL GRID CELLS MUST BE IN TEXT FORMAT (NOT DATE FORMAT),
# Date format YYYY-MM-DD HH:MM,
# All data will be processed until the general release date unless specified in the table,
# x indicates that no part of the record will be processed,
# General release date: 2025-05-01 00:00
Species,BCOB,MCOH
hfc-23,,
hfc-32,,x
hfc-125,,
hfc-134a,,
hfc-143a,,
hfc-152a,,
hfc-227ea,,
hfc-236fa,,
hfc-245fa,,
hfc-365mfc,x,x
hfc-4310mee,x,x
hcfc-22,,
hcfc-124,,
hcfc-132b,,
hcfc-133a,,
hcfc-141b,,x
hcfc-142b,x,x
cfc-11,x,x
cfc-12,x,x
cfc-13,x,x
cfc-113,x,x
cfc-114,x,x
cfc-115,,
h-1211,,
h-1301,,
h-2402,x,x
ch3cl,,
ch3br,,
ch2cl2,,
chcl3,,
ch3ccl3,x,x
ccl4,,
chclccl2,x,x
ccl2ccl2,x,x
clch2ch2cl,,
sf6,,
so2f2,x,x
nf3,,
cf4,,
c2f6,,
c3f8,,
c4f8,,
